Dose,Date,Skew,Kurtosis,Time,Cell,Variance,Ligand,Mean,alphStatCov
9.333333,3/19/2019,1.6391593,3.192255,1,Treg,144728770,IL2,9188.8545,-18209.10914
3.111,3/19/2019,1.3992845,3.881267,1,Treg,271630430,IL2,15713.86,297379.4605
1.037037,3/19/2019,3.3654377,13.705624,1,Treg,139249060,IL2,6071.75,433275.8215
0.345679,3/19/2019,3.6355336,14.689234,1,Treg,132735290,IL2,4451.785,626348.5042
0.115226,3/19/2019,7.3428254,54.14641,1,Treg,106261650,IL2,2162.9053,-15462.91021
0.038409,3/19/2019,5.6470456,31.566952,1,Treg,68974240,IL2,1694.2686,-59260.96848
0.012803,3/19/2019,0.26081282,-0.35862207,1,Treg,1914260.8,IL2,349.00928,-19934.22985
0.004268,3/19/2019,5.5695047,33.320824,1,Treg,29455010,IL2,1030.8809,156875.979
0.001423,3/19/2019,0.6288839,0.41252708,1,Treg,2910086.2,IL2,0,-75952.81698
0.000474,3/19/2019,3.4801056,21.883066,1,Treg,4782771,IL2,234.90039,-58210.55371
84,3/19/2019,0.8819713,0.7462628,1,Thelper,505255740,IL2,24666.947,2018478.908
28,3/19/2019,1.703883,3.3520021,1,Thelper,179394140,IL2,10452.82,-33409.21336
9.333333,3/19/2019,1.7087919,3.4914646,1,Thelper,124059290,IL2,9270.88,-36326.65986
3.111,3/19/2019,1.6434666,2.4413004,1,Thelper,326445760,IL2,13061.029,787975.5707
1.037037,3/19/2019,4.593943,31.6372,1,Thelper,338016320,IL2,8323.6,1817772.829
0.345679,3/19/2019,3.2413068,10.805651,1,Thelper,126380584,IL2,4601.45,1432523.983
0.115226,3/19/2019,4.5324173,26.197918,1,Thelper,11522329,IL2,994.7959,698797.9366
0.038409,3/19/2019,3.2521424,16.628849,1,Thelper,6332116.5,IL2,957.29517,421698.3592
0.012803,3/19/2019,1.636054,4.1222086,1,Thelper,2452411.8,IL2,494.25903,288281.416
0.004268,3/19/2019,0.7804803,0.54281807,1,Thelper,1628471,IL2,0,-30612.31965
0.001423,3/19/2019,0.6323785,0.32677174,1,Thelper,1751111.9,IL2,333.17114,166850.3914
0.000474,3/19/2019,4.022318,38.79832,1,Thelper,2700926,IL2,79.14453,459.5215274
84,3/19/2019,0.6499506,-0.23555541,0.5,Treg,626114940,IL2,25588.078,1417031.846
28,3/19/2019,0.7752628,-0.06659889,0.5,Treg,811608260,IL2,27628.781,897270.8798
9.333333,3/19/2019,0.754995,-0.14679337,0.5,Treg,881852400,IL2,29111.867,320184.8111
3.111,3/19/2019,1.0257125,1.4706411,0.5,Treg,522674300,IL2,22475.832,-579318.4616
1.037037,3/19/2019,3.3660693,14.969166,0.5,Treg,133137370,IL2,6667.4043,150530.7716
0.345679,3/19/2019,7.7392225,71.459206,0.5,Treg,124701890,IL2,2559.2227,-128000.4938
0.115226,3/19/2019,6.6644273,55.734776,0.5,Treg,32221856,IL2,1141.0332,-24129.4316
0.038409,3/19/2019,4.569261,23.403896,0.5,Treg,59220340,IL2,1582.5781,-94774.48302
0.012803,3/19/2019,6.3796954,56.559467,0.5,Treg,12615319,IL2,234.40479,-38324.70936
0.004268,3/19/2019,4.9375834,38.26505,0.5,Treg,5053997,IL2,0,53859.79607
0.001423,3/19/2019,5.494599,35.82334,0.5,Treg,13239263,IL2,113.01611,-45637.00001
0.000474,3/19/2019,2.139133,6.689971,0.5,Treg,4833708,IL2,303.53516,75226.04266
84,3/19/2019,1.5418218,23.324644,0.5,Thelper,654836160,IL2,27485.637,790795.9893
28,3/19/2019,0.64044416,-0.38652396,0.5,Thelper,833358140,IL2,31488.645,768046.7547
9.333333,3/19/2019,0.57559097,-0.44645762,0.5,Thelper,856571900,IL2,33121.324,457472.1527
3.111,3/19/2019,0.46717846,0.21994781,0.5,Thelper,396919300,IL2,26300.15,1791336.209
1.037037,3/19/2019,3.2278898,12.674312,0.5,Thelper,54955772,IL2,3594.207,4736.767801
0.345679,3/19/2019,4.305303,22.7782,0.5,Thelper,82761864,IL2,2964.5254,852291.8885
0.115226,3/19/2019,4.708078,25.590673,0.5,Thelper,35375040,IL2,1678.1567,791170.1486
0.038409,3/19/2019,4.606496,32.052193,0.5,Thelper,4863596.5,IL2,16.593018,196131.1481
0.012803,3/19/2019,15.8618965,262.62653,0.5,Thelper,27914028,IL2,103.41504,26266.23752
0.004268,3/19/2019,2.7376428,14.498192,0.5,Thelper,2562272,IL2,40.564453,18299.72034
0.001423,3/19/2019,1.0459334,1.8817482,0.5,Thelper,2100144.2,IL2,0,102860.827
0.000474,3/19/2019,4.2013745,25.854023,0.5,Thelper,5729712,IL2,859.0305,-138762.7335
84,3/19/2019,33.732204,2146.0786,4,Treg,535185630,IL15,12695.105,1598038.15
28,3/19/2019,1.527649,3.0656018,4,Treg,182936260,IL15,10404.879,513779.237
9.333333,3/19/2019,1.5982181,3.5662556,4,Treg,285825340,IL15,12268.123,324746.7911
3.111,3/19/2019,0.61685514,-0.20849204,4,Treg,262711100,IL15,16859.195,6171.28775
1.037037,3/19/2019,0.39542854,-0.91771483,4,Treg,197295630,IL15,14798.674,595872.0916
0.345679,3/19/2019,1.4911283,2.0601196,4,Treg,84025150,IL15,5735.73,-53041.28014
0.115226,3/19/2019,2.2541845,6.4091167,4,Treg,40834144,IL15,3904.7466,249477.3279
0.038409,3/19/2019,4.2318025,24.46668,4,Treg,10669429,IL15,613.31836,100332.8111
0.012803,3/19/2019,7.6850266,67.18731,4,Treg,25212300,IL15,455.77246,51948.10177
0.004268,3/19/2019,0.85716146,1.0101013,4,Treg,3351689,IL15,36.8916,-19806.7479
0.001423,3/19/2019,0.51733077,0.10445809,4,Treg,2562540.5,IL15,68.16211,37149.83494
0.000474,3/19/2019,3.9939766,26.93411,4,Treg,5515972,IL15,0,-98268.75295
84,3/19/2019,1.6957386,2.997726,4,Thelper,255596780,IL15,11963.875,1488478.518
28,3/19/2019,2.2317834,11.440775,4,Thelper,117439120,IL15,8335.369,128816.9576
9.333333,3/19/2019,1.6937712,3.1069517,4,Thelper,241912340,IL15,10833.066,1066115.483
3.111,3/19/2019,1.1300176,0.54213214,4,Thelper,291003200,IL15,13489.944,1974916.498
1.037037,3/19/2019,1.493563,1.4587274,4,Thelper,176744100,IL15,9139.502,3266053.271
0.345679,3/19/2019,2.9603882,10.8788,4,Thelper,60358300,IL15,4023.018,1032396.115
0.115226,3/19/2019,3.561059,17.908062,4,Thelper,9589459,IL15,1047.4502,166533.617
0.038409,3/19/2019,3.4024148,22.16937,4,Thelper,2752432.8,IL15,0,92365.78461
0.012803,3/19/2019,0.773142,0.16149163,4,Thelper,1600105.5,IL15,175.50415,-4870.634335
0.004268,3/19/2019,1.0599624,1.7640758,4,Thelper,1941605.2,IL15,148.74512,181011.4703
0.001423,3/19/2019,3.8368678,28.075531,4,Thelper,3036188.5,IL15,496.88232,99954.69951
0.000474,3/19/2019,0.5915766,0.3452716,4,Thelper,2116971.2,IL15,608.1748,-176617.77
84,3/19/2019,0.5360848,0.55848956,2,Treg,298645020,IL15,22403.75,-7411.243096
28,3/19/2019,21.561874,493.05035,2,Treg,8446548000,IL15,24086.04,127083.8857
9.333333,3/19/2019,0.58946544,1.0575337,2,Treg,267825060,IL15,19993.922,351077.2865
3.111,3/19/2019,1.0183393,2.9110188,2,Treg,276634880,IL15,20061.049,27809.32581
1.037037,3/19/2019,0.74313194,-0.35224652,2,Treg,213380910,IL15,13279.734,1468915.6
0.345679,3/19/2019,2.819512,9.666218,2,Treg,30397682,IL15,3211.217,398551.6001
0.115226,3/19/2019,5.704867,52.13261,2,Treg,8556551,IL15,1198.0261,-26700.30093
0.038409,3/19/2019,0.43279126,-0.028300524,2,Treg,2550890,IL15,508.41577,56392.37496
0.012803,3/19/2019,8.536223,83.84364,2,Treg,24426962,IL15,809.5613,71686.06181
0.004268,3/19/2019,0.58697784,0.6960368,2,Treg,1690994,IL15,84.5813,27255.89419
0.001423,3/19/2019,0.6063989,-0.4125197,2,Treg,2134614.8,IL15,0,17361.79959
0.000474,3/19/2019,7.4850335,71.714264,2,Treg,10316294,IL15,672.1892,74094.80579
84,3/19/2019,1.8090143,2.907681,2,Thelper,246532780,IL15,10643.518,1318834.956
28,3/19/2019,1.7630837,4.3298454,2,Thelper,304710900,IL15,12885.584,2891292.621
9.333333,3/19/2019,1.9041467,3.2420325,2,Thelper,249237840,IL15,9812.051,2618714.144
3.111,3/19/2019,1.5270542,1.9451752,2,Thelper,260430980,IL15,11202.061,1620684.256
1.037037,3/19/2019,2.654665,7.683552,2,Thelper,98935080,IL15,5407.174,923948.492
0.345679,3/19/2019,2.4335022,6.48015,2,Thelper,6117266,IL15,1040.9736,396304.6514
0.115226,3/19/2019,1.1990739,2.1989527,2,Thelper,1852061.5,IL15,566.7246,236012.4526
0.038409,3/19/2019,0.8096819,1.3362913,2,Thelper,1110973.6,IL15,0,58071.39872
0.012803,3/19/2019,3.2820837,18.358786,2,Thelper,2089515.2,IL15,299.46533,64186.49129
0.004268,3/19/2019,0.5682608,0.28742552,2,Thelper,1912192.4,IL15,521.76074,213557.5822
0.001423,3/19/2019,6.3076367,40.95648,2,Thelper,14914245,IL15,834.3259,328015.5548
0.000474,3/19/2019,1.3484932,4.0134563,2,Thelper,1309489.8,IL15,485.77173,1233.503336
84,3/19/2019,1.5252632,2.6729188,1,Treg,913392830,IL15,24171.148,-3544173.279
28,3/19/2019,0.74018234,-0.35414028,1,Treg,715052500,IL15,25201.105,-255123.2252
9.333333,3/19/2019,0.84622306,-0.033597946,1,Treg,857596160,IL15,27898.793,-577322.4259
3.111,3/19/2019,1.1267037,0.87249327,1,Treg,622603970,IL15,19876.969,652474.1216
1.037037,3/19/2019,1.3760402,2.058126,1,Treg,360558560,IL15,14701.04,-172422.1133
0.345679,3/19/2019,10.885386,131.7026,1,Treg,638713200,IL15,4961.8545,-171337.4661
0.115226,3/19/2019,4.743542,36.69008,1,Treg,5668018.5,IL15,216.66064,-47136.59137
0.038409,3/19/2019,3.7051177,18.682962,1,Treg,7424984,IL15,0,57153.70283
0.012803,3/19/2019,2.185092,14.610561,1,Treg,3149182.5,IL15,122.92969,19107.34694
0.004268,3/19/2019,9.990239,159.56561,1,Treg,9310654,IL15,310.21533,20981.09446
0.001423,3/19/2019,8.606976,131.08049,1,Treg,7563932,IL15,220.69043,34463.43032
0.000474,3/19/2019,6.6101265,57.370304,1,Treg,28564326,IL15,852.44775,655735.2012
84,3/19/2019,1.3332784,0.9708607,1,Thelper,419692740,IL15,14511.282,-407812.3789
28,3/19/2019,1.4048642,1.5844927,1,Thelper,433032860,IL15,15066.575,1066131.993
9.333333,3/19/2019,1.2682856,0.96423626,1,Thelper,505185000,IL15,17074.938,536858.1773
3.111,3/19/2019,1.733267,3.9026165,1,Thelper,388797900,IL15,13643.905,869676.8495
1.037037,3/19/2019,1.5082908,1.7072358,1,Thelper,203326200,IL15,10081.058,1401806.72
0.345679,3/19/2019,5.0704317,36.022823,1,Thelper,15886109,IL15,1593.8875,115243.3097
0.115226,3/19/2019,1.4384576,2.9064636,1,Thelper,2142221.2,IL15,143.46948,60593.87246
0.038409,3/19/2019,2.6215787,13.725788,1,Thelper,2195629.2,IL15,0,46156.24585
0.012803,3/19/2019,3.4069273,33.860085,1,Thelper,2181331.8,IL15,157.6748,90282.07451
0.004268,3/19/2019,7.6347404,100.04892,1,Thelper,4618680,IL15,682.3186,82988.61138
0.001423,3/19/2019,3.919634,55.240852,1,Thelper,2402479.5,IL15,383.14014,74301.16857
0.000474,3/19/2019,8.58766,205.54947,1,Thelper,3290852.2,IL15,549.1848,82013.38708
84,3/19/2019,0.60768014,-0.5204396,0.5,Treg,610716540,IL15,25903.64,-369405.8536
28,3/19/2019,0.35035667,-0.66762495,0.5,Treg,451207800,IL15,25948.04,72674.97992
9.333333,3/19/2019,0.7806086,-0.09279156,0.5,Treg,552026750,IL15,23713.031,1030726.504
3.111,3/19/2019,0.8509037,0.45045614,0.5,Treg,734642050,IL15,27588.547,521867.8345
1.037037,3/19/2019,-0.21345581,-0.6821823,0.5,Treg,215486530,IL15,23405.66,-225147.9214
0.345679,3/19/2019,0.75991786,-0.07276535,0.5,Treg,10377656,IL15,3551.1523,-118924.3705
0.115226,3/19/2019,1.0074981,2.1957932,0.5,Treg,3716646.2,IL15,1015.38135,-80901.79961
0.038409,3/19/2019,1.7698877,7.722413,0.5,Treg,3222078.2,IL15,390.89795,-106084.6618
0.012803,3/19/2019,0.9073902,1.484611,0.5,Treg,2542836,IL15,321.54785,20325.19363
0.004268,3/19/2019,11.99309,322.002,0.5,Treg,5584106.5,IL15,555.8594,1023.934679
0.001423,3/19/2019,2.3701694,10.242394,0.5,Treg,4283035,IL15,442.6162,-210351.2108
0.000474,3/19/2019,9.525636,128.54385,0.5,Treg,7537101.5,IL15,0,-62417.76816
84,3/19/2019,5.3225064,48.96187,0.5,Thelper,1751264800,IL15,28253.443,-847968.3661
28,3/19/2019,1.7152828,5.598239,0.5,Thelper,742714800,IL15,27357.535,351531.5443
9.333333,3/19/2019,1.3950326,1.4186125,0.5,Thelper,588551940,IL15,19042.723,215023.8164
3.111,3/19/2019,1.133191,1.8867517,0.5,Thelper,802953400,IL15,27589.582,-455305.4361
1.037037,3/19/2019,1.0812762,0.45462227,0.5,Thelper,316789600,IL15,15671.57,-268600.4968
0.345679,3/19/2019,1.3711374,2.221458,0.5,Thelper,11788047,IL15,2839.2234,236192.179
0.115226,3/19/2019,1.6884832,4.4642925,0.5,Thelper,4467053,IL15,1271.0701,392038.7189
0.038409,3/19/2019,0.83251095,0.43821168,0.5,Thelper,3756531.8,IL15,990.7388,125665.2626
0.012803,3/19/2019,1.3026223,1.8305922,0.5,Thelper,3007122.5,IL15,1019.13257,657.779007
0.004268,3/19/2019,1.7117982,9.688833,0.5,Thelper,2194001.2,IL15,686.17334,68577.31371
0.001423,3/19/2019,2.5020947,9.293201,0.5,Thelper,6034861.5,IL15,1126.457,-89684.332
0.000474,3/19/2019,2.405289,11.254195,0.5,Thelper,2162350.2,IL15,0,-4015.258073
84,3/27/2019,0.67513144,0.00203824,4,Treg,153044720,IL2,10635.02,2856205.51
28,3/27/2019,0.5342683,-0.37917852,4,Treg,134587870,IL2,10537.592,2294139.325
9.333333,3/27/2019,0.8537102,0.27323127,4,Treg,244949300,IL2,13858.98,3770272.447
3.111,3/27/2019,0.7030685,0.01120472,4,Treg,216093260,IL2,13086.123,3899808.075
1.037037,3/27/2019,0.7117123,-0.21923876,4,Treg,226626450,IL2,12842.674,4465196.914
0.345679,3/27/2019,1.1507525,0.7425451,4,Treg,417749950,IL2,14130.326,6094097.425
0.115226,3/27/2019,1.311219,0.95456934,4,Treg,545679400,IL2,15066.9375,7218525.284
0.038409,3/27/2019,1.5540406,1.6267047,4,Treg,436343600,IL2,11691.969,6439276.918
0.012803,3/27/2019,2.4550512,6.783576,4,Treg,290525280,IL2,6899.933,5134403.678
0.004268,3/27/2019,2.9068255,8.839211,4,Treg,119391040,IL2,2492.3687,3087817.297
0.001423,3/27/2019,3.537332,13.608618,4,Treg,97300890,IL2,1575.0122,2466487.838
0.000474,3/27/2019,4.477928,24.9495,4,Treg,41425644,IL2,0,1305363.276
84,3/27/2019,1.3792889,2.2181044,4,Thelper,112112376,IL2,7220.1963,2201602.634
28,3/27/2019,1.4381249,2.0662212,4,Thelper,99084360,IL2,6297.1387,2063219.286
9.333333,3/27/2019,1.8126205,6.046151,4,Thelper,167323570,IL2,8735.453,2744056.259
3.111,3/27/2019,1.5825047,2.6018934,4,Thelper,141876060,IL2,7922.711,2786412.947
1.037037,3/27/2019,1.8776642,3.9585152,4,Thelper,132927870,IL2,7081.2197,3211943.764
0.345679,3/27/2019,2.2422094,5.38659,4,Thelper,220605040,IL2,8622.524,5102137.338
0.115226,3/27/2019,4.7150517,89.45748,4,Thelper,309915170,IL2,8336.281,7247484.749
0.038409,3/27/2019,3.2269943,11.955563,4,Thelper,175518930,IL2,5377.4375,5452894.807
0.012803,3/27/2019,5.833843,64.68928,4,Thelper,64595620,IL2,2341.2637,2219679.908
0.004268,3/27/2019,7.996351,124.20368,4,Thelper,13620643,IL2,399.42773,410087.6709
0.001423,3/27/2019,6.6328225,109.79767,4,Thelper,5474985,IL2,157.04541,18115.65858
0.000474,3/27/2019,3.4994109,42.73673,4,Thelper,3609739.5,IL2,0,-145286.1354
84,3/27/2019,1.2718093,0.74998355,2,Treg,784279600,IL2,18604.717,6186849.664
28,3/27/2019,1.3384092,0.9521568,2,Treg,776669100,IL2,17958.78,6743846.113
9.333333,3/27/2019,1.363054,0.9315469,2,Treg,709255800,IL2,16668.89,6258246.877
3.111,3/27/2019,1.5011894,1.4491057,2,Treg,707667100,IL2,16062.654,6436271.991
1.037037,3/27/2019,1.4216261,1.1273403,2,Treg,644971600,IL2,15076.381,7225941.845
0.345679,3/27/2019,10.056555,233.94786,2,Treg,728885700,IL2,10799.572,5770309.513
0.115226,3/27/2019,1.4477144,1.0990524,2,Treg,542274500,IL2,12925.078,7726503.787
0.038409,3/27/2019,1.9594228,2.9710603,2,Treg,386440400,IL2,8268.471,6419947.745
0.012803,3/27/2019,2.5966258,6.677953,2,Treg,213936670,IL2,4220.318,4638252.655
0.004268,3/27/2019,3.0849075,9.931133,2,Treg,121674424,IL2,1831.7456,3240433.517
0.001423,3/27/2019,3.7196517,17.021193,2,Treg,114913470,IL2,1283.4917,2923201.76
0.000474,3/27/2019,4.211687,22.573835,2,Treg,55734356,IL2,0,1628783.126
84,3/27/2019,1.4418145,1.8078828,2,Thelper,593211700,IL2,18523.791,3761258.39
28,3/27/2019,1.4735856,1.8814259,2,Thelper,527019300,IL2,17408.574,2644335.146
9.333333,3/27/2019,1.6105946,2.580502,2,Thelper,483808600,IL2,16401.252,3088413.67
3.111,3/27/2019,1.8319573,3.6495538,2,Thelper,381134430,IL2,13936.041,3040750.36
1.037037,3/27/2019,2.5004416,7.0806866,2,Thelper,271063500,IL2,9325.486,5192874.236
0.345679,3/27/2019,2.8872063,9.369669,2,Thelper,190186240,IL2,7054.482,4299961.012
0.115226,3/27/2019,7.895749,244.56459,2,Thelper,131184664,IL2,4342.4536,3737996.677
0.038409,3/27/2019,5.1510873,35.08634,2,Thelper,39615532,IL2,1802.4199,1438758.769
0.012803,3/27/2019,6.7214594,88.117966,2,Thelper,8383474,IL2,470.32715,223351.4819
0.004268,3/27/2019,5.5098386,95.856155,2,Thelper,3914504,IL2,45.59131,-60751.22624
0.001423,3/27/2019,6.708217,109.140526,2,Thelper,4527830.5,IL2,0,-33701.58978
0.000474,3/27/2019,58.02269,5929.1265,2,Thelper,7674506.5,IL2,0.088378906,-160494.8346
84,3/27/2019,1.0081044,-0.117959976,1,Treg,993336770,IL2,22891.562,9242686.251
28,3/27/2019,4.155686,72.472435,1,Treg,1030754370,IL2,22747.781,8107163.971
9.333333,3/27/2019,1.069134,0.22859359,1,Treg,863281700,IL2,21412.844,8132392.391
3.111,3/27/2019,1.1482717,0.24055052,1,Treg,922968000,IL2,21082.71,8514144.913
1.037037,3/27/2019,1.3099341,0.7192111,1,Treg,697260700,IL2,16816.93,7491348.916
0.345679,3/27/2019,1.4891793,1.2455368,1,Treg,618176800,IL2,14220.179,8362570.36
0.115226,3/27/2019,35.408207,1622.205,1,Treg,2234580700,IL2,12464.175,8355493.713
0.038409,3/27/2019,49.92129,2508.89,1,Treg,62189140000,IL2,15513.946,5417906.638
0.012803,3/27/2019,2.2966225,5.0373964,1,Treg,191077300,IL2,4732.3887,5181562.789
0.004268,3/27/2019,2.6845155,7.8202915,1,Treg,107750800,IL2,2400.207,3571035.325
0.001423,3/27/2019,47.05957,2249.4587,1,Treg,4467126300,IL2,2225.5195,2165630.589
0.000474,3/27/2019,4.667582,28.447832,1,Treg,53267228,IL2,0,1638888.772
84,3/27/2019,1.2517867,1.0563073,1,Thelper,581359360,IL2,19549.047,1556165.435
28,3/27/2019,1.1538398,0.77165055,1,Thelper,575410050,IL2,20521.803,2697145.643
9.333333,3/27/2019,1.2397047,1.1374712,1,Thelper,487171900,IL2,18330.932,1552903.051
3.111,3/27/2019,1.4176657,1.7581453,1,Thelper,483426600,IL2,17751.338,2879501.517
1.037037,3/27/2019,2.0019124,3.5709686,1,Thelper,435365500,IL2,12556.787,8870168.406
0.345679,3/27/2019,2.855747,9.133728,1,Thelper,180947420,IL2,6623.7646,5112293.202
0.115226,3/27/2019,5.179554,65.53028,1,Thelper,68063144,IL2,3174.2192,2466531.168
0.038409,3/27/2019,73.52405,8096.3604,1,Thelper,70485080,IL2,1492.1738,1023788.466
0.012803,3/27/2019,116.26359,14441.682,1,Thelper,77326024,IL2,434.18652,131065.595
0.004268,3/27/2019,10.393022,281.36307,1,Thelper,4934117.5,IL2,89.15527,-61693.72116
0.001423,3/27/2019,3.339594,40.516975,1,Thelper,2884413.8,IL2,0,-139702.6629
0.000474,3/27/2019,46.367958,4097.3936,1,Thelper,6688216.5,IL2,84.25049,-186189.6779
84,3/27/2019,0.7995181,-0.2624836,0.5,Treg,1077715100,IL2,27318.016,8916145.866
28,3/27/2019,0.784602,-0.2374568,0.5,Treg,1124243300,IL2,28635.312,9273991.159
9.333333,3/27/2019,0.71031463,-0.5264728,0.5,Treg,983748740,IL2,26852.355,9728123.92
3.111,3/27/2019,11.537094,329.85986,0.5,Treg,1548745900,IL2,25324.016,9331761.043
1.037037,3/27/2019,0.98746634,-0.27305365,0.5,Treg,1026882000,IL2,22082.104,11524433.94
0.345679,3/27/2019,1.6840932,1.8117318,0.5,Treg,484258720,IL2,10369.738,8066244.075
0.115226,3/27/2019,1.6796727,1.9483886,0.5,Treg,475032160,IL2,10080.334,8528409.146
0.038409,3/27/2019,2.0492468,3.4276052,0.5,Treg,233588780,IL2,5083.2925,5818694.057
0.012803,3/27/2019,2.8234844,8.380114,0.5,Treg,138675550,IL2,2374.101,3725003.043
0.004268,3/27/2019,3.5670326,16.400408,0.5,Treg,130049910,IL2,1697.69,3225150.973
0.001423,3/27/2019,3.7679727,16.459637,0.5,Treg,90357520,IL2,491.7456,2570797.993
0.000474,3/27/2019,3.7711031,16.349232,0.5,Treg,70815224,IL2,0,1988758.545
84,3/27/2019,0.7885424,0.12924242,0.5,Thelper,831162240,IL2,29643.547,6114211.052
28,3/27/2019,0.71760607,-0.1525631,0.5,Thelper,830328260,IL2,30141.363,4358022.028
9.333333,3/27/2019,0.8097626,-0.045454264,0.5,Thelper,696051800,IL2,25960.865,5720102.814
3.111,3/27/2019,5.7460427,211.7967,0.5,Thelper,715966660,IL2,22712.379,8336775.305
1.037037,3/27/2019,2.129743,4.25446,0.5,Thelper,469878300,IL2,12027.17,10169623.46
0.345679,3/27/2019,4.706256,30.216545,0.5,Thelper,56833736,IL2,2761.4448,2034729.036
